,,,,,,,,,sid,moA,coA,moB,coB,Ratio Money to carbon option A,Ratio Money to carbon option B,Less Carbon,Better Ratio,Difference friendly to not,Difference much vs little money
sid,moA,coA,moB,coB,,,,,37,19,25,22,28,0.76,0.785714286,TRUE,FALSE,3,3
1,11,11,40,40,,,,,38,28,22,31,25,1.272727273,1.24,TRUE,TRUE,3,3
2,11,11,69,69,,,,,39,25,31,28,34,0.806451613,0.823529412,TRUE,FALSE,3,3
3,11,11,11,40,,,,,40,34,28,37,31,1.214285714,1.193548387,TRUE,TRUE,3,3
4,11,11,40,69,,,,,41,49,43,52,46,1.139534884,1.130434783,TRUE,TRUE,3,3
5,11,11,69,11,,,,,42,46,52,49,55,0.884615385,0.890909091,TRUE,FALSE,3,3
6,11,11,11,69,,,,,43,55,49,58,52,1.12244898,1.115384615,TRUE,TRUE,3,3
7,11,11,40,11,,,,,44,52,58,55,61,0.896551724,0.901639344,TRUE,FALSE,3,3
8,11,11,69,40,,,,,45,19,22,28,31,0.863636364,0.903225806,TRUE,FALSE,9,9
9,40,40,69,69,,,,,46,25,22,34,31,1.136363636,1.096774194,TRUE,TRUE,9,9
10,40,40,11,40,,,,,47,25,28,34,37,0.892857143,0.918918919,TRUE,FALSE,9,9
11,40,40,40,69,,,,,48,46,43,55,52,1.069767442,1.057692308,TRUE,TRUE,9,9
12,40,40,69,11,,,,,49,46,49,55,58,0.93877551,0.948275862,TRUE,FALSE,9,9
13,40,40,11,69,,,,,50,52,49,61,58,1.06122449,1.051724138,TRUE,TRUE,9,9
14,40,40,40,11,,,,,51,31,19,34,22,1.631578947,1.545454545,TRUE,TRUE,3,3
15,40,40,69,40,,,,,52,22,34,25,37,0.647058824,0.675675676,TRUE,FALSE,3,3
16,69,69,11,40,,,,,53,55,43,58,46,1.279069767,1.260869565,TRUE,TRUE,3,3
17,69,69,40,69,,,,,54,46,58,49,61,0.793103448,0.803278689,TRUE,FALSE,3,3
18,69,69,69,11,,,,,55,19,22,25,31,0.863636364,0.806451613,TRUE,TRUE,9,6
19,69,69,11,69,,,,,56,28,25,34,34,1.12,1,TRUE,TRUE,9,6
20,69,69,40,11,,,,,57,31,34,37,43,0.911764706,0.860465116,TRUE,TRUE,9,6
21,69,69,69,40,,,,,58,46,43,52,52,1.069767442,1,TRUE,TRUE,9,6
22,11,40,40,69,,,,,59,46,49,52,58,0.93877551,0.896551724,TRUE,TRUE,9,6
23,11,40,69,11,,,,,60,52,49,58,58,1.06122449,1,TRUE,TRUE,9,6
24,11,40,11,69,,,,,61,22,19,31,25,1.157894737,1.24,TRUE,FALSE,6,9
25,11,40,40,11,,,,,62,25,28,34,34,0.892857143,1,TRUE,FALSE,6,9
26,11,40,69,40,,,,,63,34,31,43,37,1.096774194,1.162162162,TRUE,FALSE,6,9
27,40,69,69,11,,,,,64,43,46,52,52,0.934782609,1,TRUE,FALSE,6,9
28,40,69,11,69,,,,,65,49,46,58,52,1.065217391,1.115384615,TRUE,FALSE,6,9
29,40,69,40,11,,,,,66,49,52,58,58,0.942307692,1,TRUE,FALSE,6,9
30,40,69,69,40,,,,,67,19,25,22,37,0.76,0.594594595,TRUE,TRUE,12,3
31,69,11,11,69,,,,,68,28,22,31,34,1.272727273,0.911764706,TRUE,TRUE,12,3
32,69,11,40,11,,,,,69,31,25,34,37,1.24,0.918918919,TRUE,TRUE,12,3
33,69,11,69,40,,,,,70,31,37,34,49,0.837837838,0.693877551,TRUE,TRUE,12,3
34,11,69,40,11,,,,,71,43,49,46,61,0.87755102,0.754098361,TRUE,TRUE,12,3
35,11,69,69,40,,,,,72,52,46,55,58,1.130434783,0.948275862,TRUE,TRUE,12,3
36,40,11,69,40,,,,,73,25,19,37,22,1.315789474,1.681818182,TRUE,FALSE,3,12
,35.16666667,40,44.83333333,40,,,,,74,22,28,34,31,0.785714286,1.096774194,TRUE,FALSE,3,12
,,,,,,,,,75,25,31,37,34,0.806451613,1.088235294,TRUE,FALSE,3,12
,0.383065439,0,-0.383065439,,,,,,76,37,31,49,34,1.193548387,1.441176471,TRUE,FALSE,3,12
,,,,,,,,,77,49,43,61,46,1.139534884,1.326086957,TRUE,FALSE,3,12
,,,,,,,,,78,46,52,58,55,0.884615385,1.054545455,TRUE,FALSE,3,12
,,,,,,,,,79,25,25,28,55,1,0.509090909,TRUE,TRUE,30,3
,,,,,,,,,80,28,28,58,31,1,1.870967742,TRUE,FALSE,3,30
,,,,,,,,,Mittelwerte,35.90909091,35.90909091,42.79545455,42.79545455,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Korrelation zwischen Geld und Emission,0.881955485,,0.696689232,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Min,19,19,22,22,0.647058824,0.509090909,,Sum == TRUE = 22,,
,,,,,,,,,Max,55,58,61,61,1.631578947,1.870967742,,,,
